Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
15;0;0;15;0;2;Antonino Ragusa;99999999
6;0;0;6;0;0;Elia Boseggia;99999999
3;0;1;2;0;0;Filippo Terracciano;99999999
35;33;2;0;0;1;Gianluca Caprari;3889
23;3;0;20;0;14;Ivor Pandur;99999999
12;1;4;7;0;3;Panagiotis Retsos;99999999
35;8;16;11;0;3;Fabio Depaoli;99999999
38;9;11;18;0;0;Danilo D Ambrosio;2286
26;12;14;0;0;11;Joaqu n Correa;5096
23;1;11;11;0;15;Felipe Caicedo;99999999
4;0;1;3;0;9;Mattia Zanotti;99999999
38;37;0;1;0;0;Samir Handanovic;99999999
37;32;4;1;0;1;Andrea Pinamonti;14183
29;11;9;9;0;8;Stefano Sensi;11271
38;27;9;2;0;0;Edin Dzeko;2938
17;5;8;4;0;21;Robin Gosens;99999999
2;0;0;2;0;0;Fabio Cortinovis;99999999
5;0;0;5;0;0;Franco Carboni;99999999
35;35;0;0;1;2;Marcelo Brozovic;6707
35;6;12;17;0;3;Roberto Gagliardini;99999999
2;0;0;2;0;0;Dennis Curatolo;99999999
30;2;26;2;0;7;Arturo Vidal;99999999
38;13;19;6;0;0;Federico Dimarco;19036
13;0;4;9;0;1;Mart n Satriano;99999999
32;28;2;2;0;6;Stefan de Vrij;9972
34;18;7;9;0;4;Matteo Darmian;7229
1;0;0;1;0;0;Cesare Casadei;99999999
37;36;0;1;1;0;Nicol  Barella;8042
33;7;20;6;0;4;Alexis S nchez;99999999
38;21;12;5;0;0;Denzel Dumfries;12685
38;1;0;37;0;0;Ionut Radu;99999999
37;35;0;2;0;1;Ivan Perisic;4545
36;28;7;1;1;1;Lautaro Mart nez;12643
1;0;0;1;0;0;Lucien Agoum;99999999
38;35;0;3;0;0;Milan Skriniar;7638
29;0;0;29;0;1;Alex Cordaz;99999999
5;0;0;5;0;0;Mattia Sangalli;99999999
32;29;2;1;1;5;Alessandro Bastoni;19047
23;0;3;20;0;3;Aleksandar Kolarov;99999999
36;3;3;30;0;2;Andrea Ranocchia;99999999
1;0;0;1;0;0;William Rovida;99999999
35;2;15;18;0;3;Mat as Vecino;99999999
36;33;1;2;2;0;Hakan Calhanoglu;4175
36;0;1;35;0;1;Carlo Pinsoglio;99999999
31;23;8;0;1;6;Manuel Locatelli;14174
2;0;1;1;0;0;Martin Palumbo;99999999
32;17;11;4;0;5;Alex Sandro;510
37;5;0;32;0;0;Mattia Perin;99999999
20;0;9;11;0;17;Kaio Jorge;99999999
35;15;3;17;1;2;Luca Pellegrini;12762
29;26;3;0;0;8;Paulo Dybala;8504
13;4;2;7;0;0;Fabio Miretti;99999999
1;0;0;1;0;4;Franco Israel;99999999
2;0;0;2;0;0;Filippo Ranocchia;99999999
34;28;4;2;0;4;Adrien Rabiot;277
2;0;0;2;0;4;Diego Stramaccioni;99999999
23;15;6;2;1;14;Weston McKennie;11284
37;29;2;6;0;1;Matthijs de Ligt;11559
27;13;7;7;1;10;Mattia De Sciglio;7276
9;0;2;7;0;1;Mat as Soul;99999999
2;0;0;2;0;1;Zsombor Senk;99999999
37;33;0;4;0;1;Wojciech Szczesny;99999999
27;11;9;7;0;10;Arthur Melo;12644
8;0;0;8;0;9;Koni De Winter;99999999
32;12;20;0;0;4;Moise Kean;12769
22;13;6;3;0;0;Rodrigo Bentancur;11287
14;11;3;0;0;24;Federico Chiesa;99999999
12;0;4;8;0;6;Marley Ak;99999999
1;0;0;1;0;2;Samuel Iling Junior;99999999
30;22;2;6;0;8;Leonardo Bonucci;6169
1;0;0;1;0;0;Nicol  Fagioli;99999999
22;5;15;2;0;1;Dejan Kulusevski;99999999
36;26;9;1;1;1;lvaro Morata;646
24;22;0;2;2;12;Danilo;2295
35;9;3;23;0;3;Daniele Rugani;99999999
9;1;2;6;0;11;Aaron Ramsey;99999999
1;0;0;1;0;0;Emanuele Zuelli;99999999
1;0;0;1;0;6;Marco Raina;99999999
31;16;12;3;1;6;Federico Bernardeschi;3333
10;6;3;1;0;4;Denis Zakaria;99999999
36;33;3;0;0;1;Dusan Vlahovic;14068
27;16;5;6;0;11;Giorgio Chiellini;3943
1;0;1;0;0;1;Cristiano Ronaldo;99999999
35;28;5;2;0;2;Juan Cuadrado;5511
37;19;16;2;1;0;Lucas Leiva;6360
36;9;20;7;0;1;Toma Basic;12219
38;15;0;23;0;0;Pepe Reina;99999999
34;28;3;3;2;2;Luiz Felipe;12975
5;0;0;5;0;0;Romano Floriani;99999999
23;1;11;11;0;15;Felipe Caicedo;99999999
32;25;7;0;1;5;Pedro;8592
33;6;4;23;0;5;Stefan Radu;99999999
36;19;5;12;2;0;Patric;8396
35;27;7;1;1;2;Luis Alberto;6416
14;0;1;13;24;0;Dimitrije Kamenovic;99999999
37;0;0;37;0;0;Marius Adamonis;99999999
15;2;1;12;0;0;Jovane;99999999
38;23;0;15;0;0;Thomas Strakosha;99999999
34;16;15;3;0;4;Manuel Lazzari;12578
30;29;1;0;2;6;Francesco Acerbi;3532
23;1;10;12;0;0;Vedat Muriqi;99999999
16;0;4;12;0;1;Andr  Anderson;99999999
31;23;8;0;1;6;Mattia Zaccagni;19698
37;36;1;0;1;0;Sergej Milinkovi  Savi;9729
35;30;3;2;1;2;Adam Marusic;196
16;0;1;15;0;1;Gonzalo Escalante;99999999
38;33;5;0;0;0;Felipe Anderson;3353
31;4;6;21;0;6;Jean Daniel Akpa Akpro;99999999
1;0;0;1;17;0;Jony;99999999
29;0;8;21;0;1;Luka Romero;99999999
35;1;10;24;0;0;Ra l Moro;99999999
1;0;0;1;0;3;Alessio Furlanetto;99999999
13;0;1;12;0;0;Denis Vavro;99999999
33;19;13;1;1;4;Danilo Cataldi;2285
31;31;0;0;0;7;Ciro Immobile;1921
3;0;0;3;0;0;Marco Bertini;99999999
36;24;5;7;0;2;Elseid Hysaj;3022
37;13;9;15;1;0;Nicola Murru;7980
26;8;6;12;0;11;Lorenzo Tonelli;99999999
18;0;4;14;0;0;Gerard Yepes;99999999
13;6;5;2;0;25;Mikkel Damsgaard;99999999
2;0;0;2;0;0;Daniele Montevago;99999999
38;9;11;18;0;0;Radu Dragusin;34187
37;9;1;27;0;1;Wladimiro Falcone;99999999
35;14;10;11;2;0;Tom s Rinc n;10473
36;1;9;26;0;0;Riccardo Ciervo;99999999
36;36;0;0;2;0;Antonio Candreva;965
29;11;9;9;0;8;Stefano Sensi;11271
14;0;10;4;0;9;Ernesto Torregrossa;99999999
36;25;11;0;1;1;Tommaso Augello;19867
35;35;0;0;2;0;Morten Thorsby;7775
17;12;5;0;2;0;Adrien Silva;280
11;0;1;10;1;2;Vladyslav Supryaga;99999999
1;0;0;1;0;0;Francesco Migliardi;99999999
23;10;9;4;1;13;Valerio Verre;99999999
35;35;0;0;2;1;Bartosz Bereszynski;1210
31;19;7;5;2;4;Albin Ekdal;392
36;19;14;3;0;2;Fabio Quagliarella;3281
38;20;3;15;0;0;Alex Ferrari;490
5;0;2;3;0;8;Sebastian Giovinco;99999999
31;19;7;5;0;7;Maya Yoshida;7359
36;29;0;7;0;2;Emil Audero;99999999
18;15;3;0;0;20;Manolo Gabbiadini;6596
35;0;5;30;0;0;Simone Trimboli;99999999
18;4;10;4;0;20;Ronaldo Vieira;99999999
32;7;12;13;1;4;Kristoffer Askildsen;99999999
1;0;0;1;1;0;Giovanni Bonfanti;99999999
34;8;10;16;1;3;Giangiacomo Magnani;99999999
3;0;0;3;0;6;Ivan Saio;99999999
32;31;1;0;6;0;Omar Colley;14139
15;9;5;1;0;0;Abdelhamid Sabiri;99999999
3;0;0;3;0;0;Marco Somma;99999999
22;4;7;11;1;0;Julian Chabot;99999999
38;33;5;0;0;0;Francesco Caputo;3539
35;0;1;34;0;0;Nicola Ravaglia;99999999
35;33;2;0;0;1;Gianluca Caprari;3889
2;0;0;2;0;2;Lorenzo Di Stefano;99999999
1;0;0;1;0;8;Mohamed Ihattaren;99999999
35;8;16;11;0;3;Fabio Depaoli;99999999
25;2;6;17;0;4;Andrea Conti;99999999
34;13;4;17;0;4;Petko Hristov;67302
36;35;1;0;2;0;Emmanuel Gyasi;19873
2;0;0;2;0;0;Dennis Delori;99999999
38;31;0;7;0;0;Ivan Provedel;99999999
17;0;1;16;0;12;Aimar Sher;99999999
19;5;7;7;0;5;Eddie Salcedo;99999999
26;10;11;5;0;4;M Bala Nzola;27626
32;26;5;1;1;5;Simone Bastoni;19880
30;0;2;28;0;0;Nicol  Bertola;99999999
38;0;1;37;0;0;Petar Zovko;99999999
19;2;6;11;0;15;Mehdi Bourabia;99999999
35;21;12;2;0;3;Daniele Verde;2276
26;22;3;1;0;9;Arkadiusz Reca;12501
2;1;1;0;0;0;Luca Vignali;99999999
25;12;11;2;1;12;Kevin Agudelo;24246
35;33;2;0;1;1;Giulio Maggiore;19885
20;0;3;17;0;12;Aur lien Nguiamba;99999999
18;1;4;13;0;0;Suf Podgoreanu;99999999
2;0;2;0;0;0;Samuel Mraz;99999999
36;7;0;29;0;0;Jeroen Zoet;99999999
32;16;10;6;0;6;Viktor Kovalenko;12789
35;9;9;17;0;0;Janis Antiste;99999999
30;30;0;0;1;7;Martin Erlic;19888
37;36;0;1;1;0;Dimitrios Nikolaou;12898
38;14;13;11;0;0;Salva Ferrer;27628
33;31;1;1;3;2;Kelvin Amian;11444
26;13;5;8;0;9;Jacopo Sala;99999999
33;19;11;3;1;1;Rey Manaj;17479
25;7;3;15;0;0;David Strelec;99999999
30;21;1;8;1;3;Jakub Kiwior;64677
17;3;8;6;4;16;Ebrima Colley;99999999
26;2;6;18;0;11;K vin Malcuit;99999999
2;0;0;2;0;0;Luca Palmiero;99999999
38;14;7;17;0;0;Juan Jesus;11756
37;12;25;0;0;1;Eljif Elmas;13773
33;16;14;3;0;5;Dries Mertens;2870
27;23;4;0;2;9;Victor Osimhen;14559
32;7;12;13;0;6;Diego Demme;99999999
35;4;20;11;0;3;Andrea Petagna;99999999
33;29;3;1;0;5;Fabi n Ruiz;12924
1;0;0;1;0;0;Jonathan Spedalieri;99999999
36;26;9;1;0;2;Piotr Zielinski;8723
34;33;0;1;0;4;Giovanni Di Lorenzo;14122
35;0;1;34;0;0;Davide Marfella;99999999
1;0;0;1;0;10;Moussa Man;99999999
9;3;1;5;2;8;Konstantinos Manolas;99999999
1;0;0;1;0;9;Antonio Cioffi;99999999
1;0;0;1;0;0;Benedetto Barba;99999999
32;7;0;25;0;6;Alex Meret;99999999
25;21;4;0;6;5;Frank Anguissa;713
35;20;13;2;0;3;Matteo Politano;7236
27;27;0;0;6;5;Kalidou Koulibaly;5670
33;28;4;1;0;5;Lorenzo Insigne;6286
10;0;1;9;0;6;Axel Tuanzebe;99999999
33;5;7;21;0;5;Alessandro Zanoli;99999999
2;0;2;0;0;0;Gianluca Gaetano;99999999
1;0;0;1;0;1;Giuseppe Ambrosino;99999999
2;0;0;2;0;3;Davide Costanzo;99999999
35;34;0;1;0;3;M rio Rui;6905
3;0;0;3;0;8;Antonio Vergara;99999999
21;1;14;6;2;15;Adam Ounas;99999999
29;3;11;15;0;9;Faouzi Ghoulam;99999999
37;33;0;4;1;0;Amir Rrahmani;13580
36;31;0;5;0;2;David Ospina;99999999
8;0;0;8;0;0;Hubert Idasiak;99999999
31;20;10;1;0;7;Hirving Lozano;11907
29;19;4;6;0;9;Stanislav Lobotka;11208
17;0;0;17;0;0;Manuel Gasparini;99999999
2;0;0;2;0;4;Mattia Damiani;99999999
2;0;1;1;0;0;Martin Palumbo;99999999
1;0;0;1;0;0;Cristo Gonz lez;99999999
35;11;17;7;0;3;Ignacio Pussetto;14091
34;31;3;0;1;3;Gerard Deulofeu;3848
2;0;0;2;0;0;Simone Scuffet;99999999
37;1;21;15;0;1;Lazar Samardzic;99999999
37;6;16;15;0;1;Mato Jajalo;99999999
1;0;0;1;0;0;Lorenzo Codutti;99999999
8;0;0;8;0;4;Edoardo Piana;99999999
3;0;0;3;0;16;Antonio Santurro;99999999
1;0;0;1;0;0;Raed Jaziri;99999999
4;0;1;3;0;0;Riccardo Pinzi;99999999
16;0;4;12;0;2;Fernando Forestieri;99999999
17;15;0;2;1;0;Pablo Mar;8324
36;33;3;0;2;0;Walace;13082
32;19;1;12;1;3;Nehu n P rez;27266
33;23;4;6;0;5;Bram Nuytinck;1435
35;35;0;0;0;3;Marco Silvestri;99999999
2;0;0;2;0;2;Nicol  Cocetta;99999999
35;35;0;0;2;1;Rodrigo Bec o;12827
8;0;0;8;0;0;Marco Ballarini;99999999
28;24;4;0;0;8;Beto;29252
11;8;3;0;0;0;Jens Stryger Larsen;99999999
24;11;11;2;1;12;Isaac Success;10160
2;0;2;0;0;0;Stefano Okaka;99999999
25;22;2;1;2;11;Roberto Pereyra;9140
6;0;0;6;0;0;Simone Ianesi;99999999
35;31;4;0;2;1;Nahuel Molina;26571
36;22;8;6;1;1;Tolgay Arslan;10430
2;0;1;1;0;15;Simone Pafundi;99999999
17;0;2;15;0;0;Filip Benkovic;99999999
2;0;0;2;0;3;Riccardo Castagnaviz;99999999
28;1;6;21;0;9;Ilija Nestorovski;99999999
2;0;0;2;0;2;Jacopo Fedrizzi;99999999
17;17;0;0;1;0;Samir Caetano;9498
36;29;6;1;0;2;Destiny Udogie;32071
36;7;21;8;0;0;Brandon Soppy;99999999
36;6;8;22;0;1;Marvin Zeegelaar;99999999
37;3;0;34;0;1;Daniele Padelli;99999999
11;0;0;11;0;7;Matteo Carnelos;99999999
35;26;7;2;2;1;Jean Victor Makengo;11770
19;2;0;17;0;0;Sebastien De Maio;99999999
33;23;10;0;1;4;Milan Djuric;7631
30;25;2;3;1;6;Luca Ranieri;19893
24;16;7;1;1;11;Franck Rib ry;3591
1;0;0;1;0;0;Angelo Guida;99999999
33;16;11;6;1;3;Grigoris Kastanos;17517
13;2;3;8;0;14;Leonardo Capezzi;99999999
2;0;0;2;0;0;Carmine Iannone;99999999
32;12;5;15;0;4;Riccardo Gagliolo;9011
38;9;11;18;0;0;Radu Dragusin;34187
32;12;9;11;0;5;Joel Obi;5118
14;8;6;0;0;24;Matteo Ruggeri;99999999
1;0;0;1;0;0;Antonio Pio Iervolino;99999999
34;30;1;3;1;3;Norbert Gyomber;8116
19;3;2;14;0;0;Filippo Delli Carri;99999999
7;2;4;1;0;10;Lys Mousset;99999999
16;16;0;0;0;0;Luigi Sepe;99999999
35;13;16;6;0;3;Nadir Zortea;27642
16;16;0;0;1;0;Federico Fazio;3338
25;11;7;7;0;13;Simone Verdi;99999999
38;21;2;15;0;0;Vid Belec;99999999
16;13;2;1;1;0;derson;31596
1;0;0;1;0;0;Tommaso De Lorenzo;99999999
7;0;0;7;11;0;Guido Guerrieri;99999999
16;0;7;9;0;1;Mikael;99999999
24;10;7;7;0;6;Wajdi Kechrida;63081
25;4;9;12;0;1;Pawel Jaroszynski;99999999
3;0;0;3;0;0;Lorenzo Cannavale;99999999
3;0;1;2;0;0;Mario Perrone;99999999
14;10;4;0;0;4;Cedric Gondo;99999999
3;0;0;3;0;0;Jacopo De Matteis;99999999
19;8;1;10;1;15;Fr d ric Veseli;99999999
3;1;0;2;0;0;Andrei Motoc;99999999
19;10;9;0;0;2;Simy;99999999
14;4;2;8;0;6;Luka Bogdan;99999999
14;0;0;14;0;9;Antonio Russo;99999999
20;1;0;19;0;6;Vincenzo Fiorillo;99999999
31;29;2;0;3;4;Lassana Coulibaly;6056
15;1;10;4;0;2;Diego Perotti;99999999
14;12;2;0;0;1;Ivan Radovanovic;4549
32;14;4;14;1;1;Francesco Di Tacchio;19561
33;19;13;1;1;3;Federico Bonazzoli;19930
19;1;5;13;0;2;Edoardo Vergani;99999999
2;0;1;1;0;0;Julian Kristoffersen;99999999
21;5;9;7;0;9;Andrea Schiavone;99999999
6;2;0;4;5;5;Ramzi Aya;99999999
13;9;2;2;0;25;Mamadou Coulibaly;99999999
11;11;0;0;1;15;Stefan Strandberg;15868
3;0;1;2;0;2;Alessandro Russo;99999999
16;8;3;5;1;0;Emil Bohinen;99999999
34;30;3;1;2;3;Pasquale Mazzocchi;19805
15;9;3;3;0;23;Filip Djuricic;99999999
34;2;10;22;0;4;Francesco Magnanelli;99999999
13;0;2;11;0;0;Brian Oddei;99999999
3;0;0;3;0;0;Christian Aucelli;99999999
34;19;4;11;1;3;Rog rio;9212
3;0;0;3;0;0;Asan Mata;99999999
34;14;9;11;1;2;Kaan Ayhan;5655
1;0;0;1;0;0;Justin Kumi;99999999
1;0;0;1;0;37;Filippo Romagna;99999999
36;1;9;26;0;0;Riccardo Ciervo;99999999
38;11;27;0;0;0;Gr goire Defrel;4061
4;0;0;4;0;0;Samuele Vitale;99999999
32;21;10;1;4;2;Hamed Junior Traor;14123
36;32;4;0;2;0;Giacomo Raspadori;14168
38;1;0;37;0;0;Gianluca Pegolo;99999999
36;25;11;0;1;1;Gianluca Scamacca;14479
28;3;19;6;0;7;Abdou Harroui;99999999
32;10;15;7;0;5;Matheus Henrique;28311
28;11;1;16;0;8;Edoardo Goldaniga;2948
29;0;1;28;0;4;Giacomo Satalino;99999999
37;37;0;0;0;0;Andrea Consigli;99999999
35;0;2;33;0;3;Federico Peluso;99999999
3;0;0;3;0;0;Yeferson Paz;99999999
36;35;1;0;1;1;Davide Frattesi;19731
2;0;0;2;0;0;Gioele Zacchi;99999999
33;33;0;0;1;4;Domenico Berardi;2809
3;0;0;3;0;0;Salim Abubakar;99999999
19;0;10;9;0;0;Ruan Tressoldi;99999999
25;15;5;5;0;12;Jeremy Toljan;4943
34;22;7;5;3;0;Georgios Kyriakopoulos;15349
37;24;7;6;1;0;Mert M ld r;13300
1;0;0;1;0;0;Edoardo Pieragnolo;99999999
14;0;6;8;0;0;Emil Konradsen Ceide;99999999
5;0;2;3;0;0;Luigi Samele;99999999
35;33;2;0;2;1;Maxime L pez;11170
38;33;5;0;0;0;Francesco Caputo;3539
27;15;12;0;4;7;J r mie Boga;4920
37;35;1;1;1;0;Gian Marco Ferrari;14171
37;27;2;8;0;0;Vlad Chiriches;10756
1;0;0;1;0;0;Lukas Haraslin;99999999
1;0;0;1;1;0;ttar Magn s Karlsson;99999999
19;2;5;12;1;0;Daan Heymans;99999999
23;12;7;4;4;10;Tyronne Ebuehi;10569
2;0;0;2;0;0;Damiano Pecile;99999999
37;6;14;17;1;0;Tanner Tessmann;99999999
1;0;0;1;0;0;Filippo Mozzo;99999999
13;9;0;4;0;1;Ales Mateju;99999999
28;24;1;3;1;7;Ridgeciano Haps;9056
1;0;1;0;0;0;Patrick Leal;99999999
15;2;3;10;0;1;Maximilian Ullmann;99999999
33;23;10;0;1;2;Thomas Henry;32380
1;0;0;1;0;0;Melvin R my;99999999
23;15;6;2;2;13;Antonio Junior Vacca;27657
17;16;0;1;0;13;Sergio Romero;99999999
34;23;6;5;2;2;Gianluca Busio;34514
24;5;10;9;0;7;Luca Fiordilino;99999999
35;22;12;1;0;2;Domen Crnigoj;2808
4;0;0;4;0;0;Morr  Makadji;99999999
35;13;5;17;1;2;Michael Svoboda;28784
2;0;1;1;0;0;Issa Bah;99999999
24;6;2;16;0;0;Cristian Molinaro;99999999
15;1;10;4;0;0;Jean Pierre Nsame;99999999
20;4;8;8;0;0;Francesco Forte;99999999
36;35;0;1;2;0;Pietro Ceccaroni;19917
1;0;1;0;17;0;Jacopo Dezi;99999999
32;25;7;0;3;2;Mattia Aramu;27650
4;0;0;4;0;0;Roman Lazar;99999999
26;4;2;20;1;7;Marco Modolo;99999999
34;4;14;16;0;2;Dor Peretz;99999999
32;24;8;0;3;3;David Okereke;19881
15;13;0;2;0;3;Micha l Cuisance;19127
21;0;9;12;1;15;Arn r Sigurdsson;99999999
36;30;1;5;1;1;Mattia Caldara;11627
13;0;0;13;0;0;Bruno Bertinato;99999999
14;2;2;10;0;0;David Schnegg;99999999
2;0;0;2;0;5;Jakob P lsson;99999999
1;0;1;0;0;0;Nicolas Galazzi;99999999
29;26;3;0;4;0;Ethan Ampadu;11632
30;14;12;4;2;4;Sofian Kiyine;14112
14;0;1;13;0;0;Bjarki Bjarkason;99999999
1;0;1;0;0;0;Hilmir Rafn Mikaelsson;99999999
29;17;9;3;0;9;Dennis Johnsen;12433
13;6;0;7;0;24;Luca Lezzerini;99999999
1;1;0;0;0;0;Francesco Di Mariano;99999999
17;3;7;7;0;0;Nani;99999999
30;16;1;13;0;5;Niki M enp;99999999
34;30;3;1;2;3;Pasquale Mazzocchi;19805
8;0;0;8;0;0;Filippo Neri;99999999
